produto_id_inexistente,arquivos,bytes
25114,6,1230922
25119,4,98325
25137,6,180900
25145,5,163585
25148,4,98325
25151,5,163585
25169,5,163585
25174,6,1231783
25175,5,163585
25181,5,392667
25185,6,1232906
25198,5,392667
25200,6,1295135
25203,3,137962
25210,5,392667
25211,6,1250306
25226,3,137962
25316,5,1217505
25322,3,47445
25326,3,47445
25327,3,55679
25328,3,55679
25329,3,55679
25330,3,47445
25331,3,55679
25332,3,55679
25333,3,40631
25335,3,40631
25338,3,40631
25343,3,55679
25374,5,132879
25375,6,160361
25377,5,1276836
25429,2,31311
25446,7,1464785
25452,5,153285
25457,6,1229368
25468,6,1321757
25477,7,1279056
25484,6,1322089
25491,8,1451048
25492,5,173179
25493,5,132817
25497,5,157213
25517,6,443676
25551,2,441469
25558,2,84251
25562,2,86040
25563,2,86040
25574,2,86040
25586,2,86040
25589,1,45466
25608,2,86040
25611,2,54464
25620,1,45466
25625,5,346403
25630,4,153161
25642,2,84851
25643,1,9054
25658,1,114643
25661,2,86040
25662,5,526549
25663,1,45466
25671,1,9147
25673,2,84813
25693,1,114643
25694,1,8867
25695,2,84813
25715,1,24064
25724,2,83772
25725,1,9071
25735,6,301592
25741,9,951623
25745,1,8867
25747,2,84648
25763,1,114643
25764,7,904363
25766,2,86040
25772,2,86040
25774,1,8969
25792,2,84251
25794,1,8855
2580,3,458262
25810,6,748472
25814,2,86040
25815,1,8899
25824,6,301592
25833,1,114643
25835,1,9301
25836,2,86040
25852,6,562446
25857,1,114643
25858,2,86040
25859,1,9212
25871,5,281166
25889,1,9132
25902,8,751387
25904,2,86040
25906,1,9284
25925,2,86040
25926,1,9189
25945,2,86040
25946,1,9156
25956,1,114643
25957,1,9243
25958,3,100529
25977,1,132051
25978,2,86040
25990,1,45466
26001,2,86040
26014,2,86040
26027,3,509959
26034,2,86040
26043,1,45466
26044,2,86040
26055,2,84251
26071,2,86040
26089,4,151154
26093,4,153161
26114,1,37736
26117,2,86040
26118,1,45466
26130,2,86040
26142,5,169562
26161,1,9076
26172,5,578106
26185,2,86040
26203,2,444961
26204,1,9130
26227,1,8888
26233,5,281166
26242,1,114643
26249,4,85789
26256,1,8778
26275,5,528756
26280,4,198565
26286,4,198752
26287,4,198565
26295,5,528756
26319,7,429826
26321,7,429826
26322,7,429826
26323,7,429826
26324,7,429826
26336,4,307528
26338,4,307528
26340,5,145529
26347,4,307528
26359,3,262529
26394,4,349714
26404,1,27507
26416,4,307528
26422,4,307528
26542,5,300323
26543,1,26003
26546,6,1561671
26547,2,109762
26551,1,26448
26552,5,489917
26558,1,21680
26559,6,1552584
26560,7,1711978
26562,6,1568739
26564,6,1575768
26566,1,25508
26568,3,158399
26573,5,300323
26576,1,26398
26578,5,300323
26579,5,300323
26580,1,72617
26583,2,52861
26585,6,1751270
26588,6,1763640
26589,1,72617
26591,6,1746179
26593,6,1752318
26596,6,1767749
26599,7,1579644
26600,1,72617
26602,5,300323
26603,5,489917
26605,6,1746576
26606,1,72617
26608,6,1754837
26609,6,1553871
26610,3,77757
26616,7,429826
26623,6,1557877
26627,1,72617
26628,1,26649
26629,1,72617
26630,6,1607319
26631,6,1748747
26643,3,595147
26646,1,69830
26647,1,69830
26648,6,301592
26649,6,301592
26650,1,69830
26654,1,69830
26658,1,69830
26667,1,69830
26688,5,205923
26691,5,205923
26692,5,205923
26694,5,205923
26695,5,205923
26699,5,205923
26701,5,205923
26702,5,205923
26708,5,205923
26712,6,518485
26721,2,76381
26723,5,143361
26726,5,146866
26728,5,214516
26729,5,166406
26731,6,188428
26775,6,255854
26777,6,255854
26778,7,385719
26780,6,255854
26782,6,255854
26783,8,290900
26784,8,294403
26785,7,266407
26786,6,255854
26787,8,659689
26789,8,657600
26790,6,255854
26791,6,255854
26794,6,1356368
